employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,availability_status,workload_percentage,active_tasks,performance_score
EMP2194,Nikhil Mishra,employee2194@company.local,IT,Analyst,7.8,2013-07-20,"Deep Learning, Django, Project Management",Available,55.7,7,64.4
EMP3481,Priya Kapoor,employee3481@company.local,IT,Business Analyst,5.4,2015-10-18,"Python, React, Finance",Available,11.6,1,65.2
EMP2342,Rahul Thomas,employee2342@company.local,Finance,HR Executive,6.5,2016-12-24,"Computer Vision, Deep Learning, Python, Data Analysis",Available,68.2,5,49.6
EMP4418,Manoj Mishra,employee4418@company.local,Data Science,Finance Analyst,2.4,2017-10-10,"React, Excel, Python, Django",Available,68.8,7,74.4
EMP4422,Rahul Thomas,employee4422@company.local,Sales,Analyst,0.6,2021-08-08,"Excel, Machine Learning, Python",Available,44.0,3,65.0
EMP2984,Vivek Singh,employee2984@company.local,HR,Developer,2.2,2022-11-18,"SQL, Deep Learning, Python, Django",Available,91.1,5,69.4
EMP1982,Rahul Das,employee1982@company.local,Data Science,Senior Developer,5.4,2017-06-14,"Project Management, Excel, React, SQL",Available,55.7,5,79.0
EMP3154,Nikhil Mishra,employee3154@company.local,Engineering,Team Lead,0.8,2013-05-16,"SQL, Django, Excel, Finance",Available,41.9,3,61.3
EMP822,Rahul Thomas,employee822@company.local,Operations,Business Analyst,5.6,2017-12-08,Excel,Busy,91.7,5,67.2
EMP4567,Neha Nair,employee4567@company.local,Marketing,Project Manager,8.5,2013-09-27,Computer Vision,Available,63.6,5,73.1
EMP4299,Isha Joshi,employee4299@company.local,Finance,Analyst,6.0,2014-10-16,"Computer Vision, NLP, Deep Learning",Available,31.6,1,68.1
EMP3920,Arun Kumar,employee3920@company.local,HR,Developer,5.8,2022-11-02,"React, Deep Learning, NLP",Available,52.0,3,75.0
EMP2721,Priya Reddy,employee2721@company.local,Finance,Team Lead,6.3,2017-09-28,"SQL, Finance, Python",Available,27.9,2,57.1
EMP1261,Priya Pillai,employee1261@company.local,Sales,Data Scientist,7.3,2017-12-05,"Excel, Finance, Computer Vision, Machine Learning",Available,77.2,7,68.3
EMP3124,Vivek Verma,employee3124@company.local,Engineering,Team Lead,4.9,2020-04-29,"NLP, Deep Learning",Available,24.4,4,70.9
EMP741,Priya Menon,employee741@company.local,Marketing,HR Executive,11.6,2020-06-18,"Project Management, Data Analysis, Excel, Python",Available,34.0,3,81.1
EMP523,Sneha Joshi,employee523@company.local,Sales,Business Analyst,1.7,2015-08-18,"Django, SQL, NLP, Computer Vision",Available,24.6,2,65.1
EMP1850,Amit Patel,employee1850@company.local,Finance,Developer,6.6,2019-07-21,"Python, Computer Vision",Available,80.2,6,63.0
EMP3114,Nikhil Patel,employee3114@company.local,Finance,Senior Developer,3.9,2020-01-24,"Machine Learning, Project Management",Available,100.0,4,65.9
EMP3550,Amit Das,employee3550@company.local,Engineering,Business Analyst,11.7,2013-07-07,"React, Machine Learning",Available,59.7,4,78.8
EMP1067,Neha Joshi,employee1067@company.local,IT,Team Lead,6.2,2024-07-22,"Data Analysis, Computer Vision",Available,84.2,5,69.4
EMP4026,Kiran Patel,employee4026@company.local,Engineering,Senior Developer,3.3,2014-04-02,Excel,Busy,0.0,1,56.6
EMP3708,Rohit Raj,employee3708@company.local,Operations,Finance Analyst,2.2,2021-06-28,Excel,Available,3.5,0,73.7
EMP2999,Isha Nair,employee2999@company.local,HR,Data Scientist,11.5,2019-10-06,"Deep Learning, NLP, Machine Learning",Available,57.5,5,78.5
EMP4596,Aditya Verma,employee4596@company.local,Engineering,Developer,3.2,2012-06-13,"Computer Vision, Machine Learning",Available,33.2,2,70.5
EMP169,Meera Kapoor,employee169@company.local,Engineering,Business Analyst,5.6,2025-07-26,"Python, Project Management, Django",Busy,24.2,2,77.3
EMP3864,Vivek Singh,employee3864@company.local,Engineering,Developer,7.4,2023-12-12,"Machine Learning, NLP, Django",Available,85.7,6,69.5
EMP2720,Arun Kumar,employee2720@company.local,Engineering,Developer,10.1,2019-01-26,"SQL, Excel, Computer Vision",Available,73.5,5,61.9
EMP2472,Sanjay Singh,employee2472@company.local,Operations,Finance Analyst,2.2,2016-04-28,"SQL, Python",Available,26.5,0,73.6
EMP4081,Priya Reddy,employee4081@company.local,Engineering,Business Analyst,6.7,2025-02-03,"Finance, Excel",Available,40.0,3,69.8
EMP4988,Rohit Raj,employee4988@company.local,Finance,Project Manager,7.5,2015-01-23,"Excel, Project Management, Finance, React",Available,66.3,4,69.1
EMP3341,Priya Pillai,employee3341@company.local,Engineering,Team Lead,13.4,2012-02-12,"Project Management, SQL, Finance",Available,100.0,5,69.4
EMP1771,Divya Joshi,employee1771@company.local,HR,Senior Developer,2.8,2020-09-19,"React, Computer Vision",Busy,100.0,7,71.4
EMP4430,Amit Das,employee4430@company.local,Sales,Senior Developer,9.4,2021-12-20,"Computer Vision, Data Analysis",On Leave,75.4,3,98.0
EMP364,Vivek Raj,employee364@company.local,Operations,Project Manager,5.7,2023-11-05,Data Analysis,Busy,34.3,3,59.8
EMP633,Pooja Kapoor,employee633@company.local,Marketing,Data Scientist,11.8,2016-08-31,"Deep Learning, Project Management, Computer Vision",Available,72.7,4,72.9
EMP3518,Manoj Das,employee3518@company.local,Finance,Developer,19.6,2015-02-03,Excel,Available,26.0,2,91.9
EMP1989,Meera Menon,employee1989@company.local,Data Science,Finance Analyst,11.8,2016-07-29,SQL,Available,81.4,4,78.3
EMP4938,Manoj Patel,employee4938@company.local,Marketing,Business Analyst,5.6,2017-05-23,NLP,Available,57.3,4,61.8
EMP2044,Vivek Raj,employee2044@company.local,Engineering,Data Scientist,1.6,2017-01-05,"Finance, Deep Learning, Project Management, NLP",Busy,68.6,4,47.2
EMP122,Rahul Patel,employee122@company.local,Marketing,Team Lead,7.1,2025-02-14,Python,Available,89.8,4,61.2
EMP829,Meera Pillai,employee829@company.local,Marketing,HR Executive,2.8,2013-11-05,"Python, Excel, Computer Vision",Available,51.5,3,64.7
EMP4657,Not specified,employee4657@company.local,Engineering,Business Analyst,3.7,2019-03-04,"NLP, Deep Learning, React, Python",Available,93.4,9,83.1
EMP3425,Anita Reddy,employee3425@company.local,Sales,Senior Developer,5.2,2022-02-04,Django,Busy,43.9,3,89.8
EMP3943,Sneha Nair,employee3943@company.local,Marketing,Senior Developer,1.3,2015-12-02,"Computer Vision, Deep Learning, React",Busy,66.3,4,69.4
EMP3505,Anita Reddy,employee3505@company.local,Finance,Data Scientist,1.0,2015-12-06,"Machine Learning, SQL, Deep Learning, Excel",Available,47.6,6,62.2
EMP1564,Vivek Raj,employee1564@company.local,Operations,Data Scientist,4.9,2024-04-30,"Django, Excel",Available,91.7,7,63.5
EMP3199,Isha Iyer,employee3199@company.local,Finance,Developer,2.4,2020-02-21,"NLP, Excel, Project Management, Deep Learning",Busy,46.2,2,69.2
EMP2123,Not specified,employee2123@company.local,Marketing,Data Scientist,11.4,2022-02-02,Data Analysis,Available,24.3,2,72.9
EMP1743,Sneha Iyer,employee1743@company.local,Operations,Data Scientist,6.7,2021-10-20,"Deep Learning, Excel",Available,55.7,2,60.7
EMP3298,Not specified,employee3298@company.local,Sales,Developer,13.9,2019-02-27,"Deep Learning, SQL, React",Available,72.5,5,86.3
EMP981,Priya Menon,employee981@company.local,Sales,HR Executive,5.4,2017-05-07,"Computer Vision, Django, Data Analysis",Available,75.9,4,68.1
EMP4937,Swati Kapoor,employee4937@company.local,HR,Business Analyst,6.0,2023-09-14,"Deep Learning, Django",Busy,51.5,4,75.7
EMP3776,Aditya Kumar,employee3776@company.local,Finance,Project Manager,6.4,2016-11-19,SQL,Available,75.7,5,70.6
EMP1665,Anita Reddy,employee1665@company.local,Data Science,Data Scientist,5.7,2017-01-14,"NLP, Django, React, Deep Learning",Available,88.0,5,65.3
EMP1297,Swati Reddy,employee1297@company.local,Data Science,Team Lead,5.4,2012-08-06,"SQL, Computer Vision, Deep Learning, NLP",Busy,68.6,4,67.1
EMP1964,Vivek Raj,employee1964@company.local,Data Science,Developer,11.2,2017-10-02,"React, Data Analysis, Python, Django",Available,61.9,6,73.5
EMP3323,Sneha Joshi,employee3323@company.local,Data Science,Data Scientist,6.8,2016-07-12,"React, Data Analysis, Python",Available,55.9,2,71.3
EMP1189,Meera Menon,employee1189@company.local,Finance,HR Executive,8.1,2016-01-05,"React, Python, Machine Learning, NLP",Available,59.0,3,83.2
EMP3873,Pooja Reddy,employee3873@company.local,Engineering,Senior Developer,8.1,2023-09-14,"Excel, NLP, Project Management",Busy,6.6,0,55.6
EMP4045,Anita Pillai,employee4045@company.local,HR,Team Lead,8.9,2016-02-12,Django,Available,74.6,5,76.0
EMP4062,Rahul Das,employee4062@company.local,Operations,Data Scientist,2.2,2016-08-17,NLP,Busy,64.4,4,59.8
EMP1381,Priya Menon,employee1381@company.local,IT,HR Executive,6.2,2021-04-14,"Machine Learning, React",Available,49.4,4,70.9
EMP1091,Divya Sharma,employee1091@company.local,Sales,Data Scientist,2.8,2023-07-16,NLP,Available,60.8,4,67.7
EMP1807,Neha Iyer,employee1807@company.local,IT,Developer,9.2,2019-03-30,"Python, Excel, Project Management, Data Analysis",Available,30.1,2,64.4
EMP673,Pooja Reddy,employee673@company.local,Operations,Developer,11.3,2021-10-30,"Excel, Machine Learning, Deep Learning, React",Available,9.5,2,78.0
EMP3919,Isha Iyer,employee3919@company.local,Data Science,Analyst,8.3,2018-12-09,"Finance, Data Analysis, SQL, Computer Vision",Busy,61.1,3,79.1
EMP4318,Manoj Das,employee4318@company.local,Engineering,Data Scientist,0.7,2017-07-05,"NLP, Deep Learning",Available,49.3,3,69.4
EMP694,Nikhil Thomas,employee694@company.local,IT,Team Lead,5.2,2013-07-21,Finance,On Leave,39.9,1,73.0
EMP508,Rohit Raj,employee508@company.local,Engineering,HR Executive,5.6,2014-03-25,Data Analysis,Busy,54.9,2,59.3
EMP100,Arun Verma,employee100@company.local,Finance,Finance Analyst,1.8,2016-02-29,"Finance, Python",Available,68.1,5,79.4
EMP2390,Amit Thomas,employee2390@company.local,Data Science,Project Manager,3.7,2025-02-20,"Finance, Python, React, NLP",Available,41.0,4,76.2
EMP1955,Kavya Sharma,employee1955@company.local,IT,Analyst,5.4,2018-12-15,"React, Machine Learning",Busy,23.4,4,63.0
EMP3896,Aditya Singh,employee3896@company.local,Sales,Analyst,11.8,2018-12-07,"React, Deep Learning, Django, Project Management",Busy,73.8,6,84.2
EMP719,Isha Iyer,employee719@company.local,Operations,Project Manager,3.2,2017-04-08,"Data Analysis, Excel, Django, Python",Busy,75.2,7,60.9
EMP2386,Kiran Mishra,employee2386@company.local,Marketing,HR Executive,7.8,2018-03-08,"React, Deep Learning, Data Analysis",On Leave,85.3,7,59.0
EMP254,Nikhil Das,employee254@company.local,Sales,Team Lead,7.0,2025-01-04,Project Management,Available,72.3,4,78.6
EMP2917,Swati Menon,employee2917@company.local,Marketing,Business Analyst,5.6,2013-09-04,Machine Learning,Available,56.0,4,85.6
EMP3074,Nikhil Mishra,employee3074@company.local,Engineering,Developer,5.6,2014-10-31,React,Available,56.9,3,63.0
EMP3314,Nikhil Mishra,employee3314@company.local,IT,Project Manager,2.2,2016-04-15,"Finance, Computer Vision, Data Analysis",Available,64.1,4,66.0
EMP4974,Nikhil Das,employee4974@company.local,Engineering,Team Lead,1.9,2012-05-25,"Computer Vision, SQL, Python, Machine Learning",Available,61.3,5,56.2
EMP4674,Nikhil Mishra,employee4674@company.local,IT,Senior Developer,11.4,2014-08-16,"Computer Vision, Python, Excel, NLP",Available,67.0,6,80.8
EMP2438,Manoj Thomas,employee2438@company.local,IT,Team Lead,6.1,2024-05-19,"Project Management, Finance, Python",Available,29.0,3,55.8
EMP1890,Amit Mishra,employee1890@company.local,Marketing,Team Lead,22.0,2013-10-31,"Python, Excel",Available,66.2,3,82.3
EMP1150,Amit Das,employee1150@company.local,Operations,Analyst,4.7,2018-04-09,"Computer Vision, NLP, Finance",Available,62.5,3,56.2
EMP656,Aditya Kumar,employee656@company.local,Data Science,HR Executive,0.5,2019-11-30,"NLP, Deep Learning, React, Computer Vision",Busy,29.8,1,66.7
EMP3122,Rahul Mishra,employee3122@company.local,Operations,Developer,7.3,2014-08-14,"NLP, Deep Learning",On Leave,64.7,4,72.4
EMP2915,Kavya Sharma,employee2915@company.local,HR,Data Scientist,4.3,2012-01-09,"React, Deep Learning",Available,55.6,6,45.7
EMP4191,Divya Iyer,employee4191@company.local,Finance,Finance Analyst,8.0,2019-06-27,"Python, Excel, React",Busy,55.7,4,57.9
EMP4948,Rohit Verma,employee4948@company.local,Sales,Project Manager,17.4,2025-08-26,"Computer Vision, Excel",Busy,90.7,5,92.8
EMP1981,Priya Pillai,employee1981@company.local,Sales,Developer,5.8,2013-03-26,NLP,Unknown,43.1,4,65.9
EMP1139,Isha Sharma,employee1139@company.local,HR,Finance Analyst,5.5,2020-07-21,"Machine Learning, SQL",Busy,58.4,4,75.6
EMP2013,Pooja Pillai,employee2013@company.local,Engineering,Project Manager,17.8,2016-07-29,"SQL, Finance, Deep Learning",Available,73.0,4,65.7
EMP1979,Isha Joshi,employee1979@company.local,Operations,Senior Developer,2.9,2022-03-05,"React, Project Management, Data Analysis, Excel",Available,44.3,5,66.5
EMP297,Swati Kapoor,employee297@company.local,Engineering,HR Executive,0.5,2017-10-01,"Finance, Machine Learning, Excel",Available,58.6,5,60.1
EMP2797,Swati Pillai,employee2797@company.local,Marketing,Business Analyst,0.6,2020-06-10,SQL,Available,76.6,6,52.7
EMP4465,Anita Reddy,employee4465@company.local,Finance,Finance Analyst,5.1,2025-05-01,Data Analysis,Busy,2.1,1,68.7
EMP2353,Pooja Reddy,employee2353@company.local,HR,Senior Developer,8.9,2016-09-26,Computer Vision,Available,38.5,2,86.3
EMP808,Rohit Singh,employee808@company.local,Marketing,Analyst,5.0,2019-06-08,"React, Excel",Busy,11.6,1,68.0
EMP2354,Nikhil Mishra,employee2354@company.local,Operations,Senior Developer,7.7,2018-02-10,"Excel, Django",Busy,76.3,5,81.3
EMP4718,Manoj Das,employee4718@company.local,Data Science,Senior Developer,0.8,2018-06-23,"Deep Learning, Project Management, React, NLP",Available,24.3,2,58.0
EMP795,Kavya Joshi,employee795@company.local,Sales,Finance Analyst,10.9,2013-08-07,"Data Analysis, Deep Learning, Machine Learning",Busy,27.3,2,68.2
EMP050,Amit Mishra,employee050@company.local,HR,Developer,5.7,2019-06-12,"Finance, Data Analysis",Available,29.1,1,70.6
EMP2556,Aditya Raj,employee2556@company.local,Engineering,Analyst,1.8,2024-03-11,"Computer Vision, Project Management, Excel",Available,55.9,2,80.3
EMP4994,Nikhil Mishra,employee4994@company.local,IT,Senior Developer,6.7,2015-08-24,"NLP, React, Python, SQL",Available,98.3,7,51.5
EMP1433,Pooja Kapoor,employee1433@company.local,Finance,Finance Analyst,8.2,2015-10-24,"Deep Learning, Project Management",Available,49.2,5,68.1
EMP4524,Vivek Raj,employee4524@company.local,Operations,Finance Analyst,3.0,2017-05-05,"Project Management, SQL, React",Busy,53.2,5,59.4
EMP839,Isha Nair,employee839@company.local,Finance,Project Manager,4.7,2022-08-20,"Deep Learning, Computer Vision",On Leave,50.5,2,67.9
EMP3398,Manoj Thomas,employee3398@company.local,Sales,Finance Analyst,6.7,2016-04-24,"Django, Python",Busy,78.4,6,84.3
EMP1133,Pooja Pillai,employee1133@company.local,HR,HR Executive,3.6,2019-12-22,NLP,Busy,97.8,7,55.7
EMP3566,Kiran Das,employee3566@company.local,IT,Team Lead,2.4,2021-01-05,"NLP, React",Available,39.5,1,63.7
EMP4702,Rahul Das,employee4702@company.local,Engineering,Analyst,4.4,2024-04-01,Python,Available,58.2,4,71.8
EMP324,Vivek Verma,employee324@company.local,Operations,Developer,9.7,2017-03-01,"Deep Learning, Project Management",Available,21.6,2,78.6
EMP1520,Arun Kumar,employee1520@company.local,Data Science,Analyst,3.9,2017-02-02,"Project Management, Computer Vision, Machine Learning, React",Available,29.3,3,67.4
EMP3552,Sanjay Kumar,employee3552@company.local,Finance,Business Analyst,9.5,2022-11-30,"Data Analysis, Machine Learning",Busy,39.3,3,71.6
EMP3162,Rahul Patel,employee3162@company.local,IT,Project Manager,5.3,2024-02-12,"Django, React, Deep Learning, NLP",Busy,67.2,4,79.2
EMP3133,Pooja Pillai,employee3133@company.local,Operations,Project Manager,7.4,2016-09-23,"Python, React, NLP",Busy,40.9,3,80.3
EMP4343,Sneha Nair,employee4343@company.local,Finance,Developer,8.8,2024-07-24,"Project Management, Python, SQL",Available,38.9,3,76.0
EMP3429,Meera Menon,employee3429@company.local,Data Science,Data Scientist,6.5,2024-03-07,"NLP, Django",Available,75.7,5,63.8
EMP1176,Aditya Singh,employee1176@company.local,Data Science,Project Manager,3.1,2022-01-01,"NLP, Deep Learning, React, Finance",On Leave,47.4,4,66.3
EMP3165,Anita Pillai,employee3165@company.local,Engineering,Data Scientist,7.4,2019-09-24,"Finance, Deep Learning, React",Available,50.0,2,59.0
EMP1886,Kiran Das,employee1886@company.local,Operations,Project Manager,9.1,2013-11-14,"Machine Learning, React, Django, Excel",On Leave,37.7,4,73.6
EMP3855,Kavya Iyer,employee3855@company.local,IT,Project Manager,2.9,2017-02-14,Finance,Busy,70.1,4,64.6
EMP3567,Neha Iyer,employee3567@company.local,Operations,Team Lead,11.5,2017-02-19,"Excel, Data Analysis",Busy,46.7,4,63.5
EMP4642,Rahul Mishra,employee4642@company.local,IT,Developer,9.7,2024-12-20,"Data Analysis, Finance, Excel, Deep Learning",Available,68.6,5,71.3
EMP2145,Anita Reddy,employee2145@company.local,Marketing,Project Manager,3.9,2023-02-11,Data Analysis,Available,68.2,5,48.5
EMP3263,Sneha Iyer,employee3263@company.local,Engineering,Senior Developer,6.8,2014-06-17,Excel,Busy,64.2,7,84.4
EMP1686,Kiran Thomas,employee1686@company.local,HR,HR Executive,3.7,2021-12-31,Project Management,Busy,68.0,3,70.0
EMP082,Rahul Mishra,employee082@company.local,Finance,Analyst,1.7,2013-02-01,"Computer Vision, Django, Python, Data Analysis",Available,49.0,4,66.2
EMP1421,Priya Pillai,employee1421@company.local,Engineering,Project Manager,9.5,2022-12-01,"Machine Learning, SQL, NLP",Available,72.5,3,85.9
EMP1696,Aditya Kumar,employee1696@company.local,Data Science,Developer,7.9,2022-12-31,"Django, Computer Vision, Deep Learning",Available,69.8,5,80.0
EMP4069,Meera Menon,employee4069@company.local,Operations,Data Scientist,5.9,2012-04-10,"Python, Finance, Deep Learning",Available,77.2,5,75.4
EMP4739,Isha Sharma,employee4739@company.local,Engineering,Developer,2.7,2018-12-19,"Computer Vision, Machine Learning",Busy,31.0,6,72.2
EMP1237,Swati Menon,employee1237@company.local,HR,Senior Developer,8.6,2013-06-27,SQL,Busy,56.5,5,63.6
EMP1079,Isha Nair,employee1079@company.local,Data Science,Project Manager,10.5,2019-10-09,"Python, Deep Learning, Django",Available,100.0,6,70.8
EMP4053,Pooja Menon,employee4053@company.local,Engineering,Team Lead,7.0,2021-12-03,"Python, Data Analysis, React, Computer Vision",Available,47.0,3,90.8
EMP2237,Swati Pillai,employee2237@company.local,Engineering,Business Analyst,4.9,2015-02-23,"Machine Learning, SQL, Python, React",Busy,69.6,3,64.2
EMP2687,Neha Iyer,employee2687@company.local,Sales,Senior Developer,1.3,2015-08-30,"SQL, NLP, Deep Learning",Available,6.5,0,56.7
EMP2595,Kavya Sharma,employee2595@company.local,Finance,Senior Developer,1.8,2012-03-01,Python,Available,66.6,5,52.5
EMP2135,Kavya Nair,employee2135@company.local,Marketing,Team Lead,8.4,2019-07-19,"Deep Learning, SQL",Available,83.7,5,66.0
EMP3371,Divya Joshi,employee3371@company.local,IT,Developer,2.9,2015-06-06,"Django, Deep Learning, Data Analysis, Machine Learning",Busy,73.0,3,46.9
EMP661,Priya Menon,employee661@company.local,HR,Project Manager,6.8,2014-02-03,"Computer Vision, SQL, Django",Available,73.9,5,57.5
EMP1730,Amit Mishra,employee1730@company.local,Finance,HR Executive,8.8,2020-04-14,"Finance, Deep Learning, Project Management",Available,60.0,4,63.6
EMP040,Arun Singh,employee040@company.local,Data Science,Senior Developer,0.7,2013-03-23,Project Management,On Leave,63.6,4,63.7
EMP3882,Rahul Patel,employee3882@company.local,Data Science,HR Executive,10.8,2025-08-23,"Data Analysis, Finance",Busy,98.1,6,77.0
EMP2382,Rahul Das,employee2382@company.local,Marketing,Developer,13.7,2014-04-02,"Machine Learning, Django",On Leave,68.6,5,86.9
EMP3562,Rahul Patel,employee3562@company.local,Engineering,Data Scientist,3.5,2022-11-28,Project Management,Busy,74.3,6,77.7
EMP2570,Amit Patel,employee2570@company.local,Sales,Senior Developer,5.9,2025-02-08,"Excel, Machine Learning, Django",Available,44.9,1,74.7
EMP2108,Rohit Raj,employee2108@company.local,IT,Business Analyst,2.6,2017-09-02,"Data Analysis, Project Management, Python",Available,86.3,6,73.0
EMP3252,Sanjay Verma,employee3252@company.local,Engineering,Business Analyst,19.8,2016-05-25,"Finance, Data Analysis, Project Management, Machine Learning",Available,28.9,5,99.0
EMP319,Isha Iyer,employee319@company.local,Engineering,Developer,13.6,2016-11-15,"NLP, React, Data Analysis",Available,43.1,3,77.4
EMP1762,Rahul Mishra,employee1762@company.local,Sales,Finance Analyst,14.8,2020-01-12,Computer Vision,Busy,49.2,5,72.1
EMP1488,Rohit Kumar,employee1488@company.local,Sales,Team Lead,3.6,2021-09-16,"Django, Machine Learning, Computer Vision, React",Busy,16.3,1,82.0
EMP4255,Kavya Iyer,employee4255@company.local,Operations,Analyst,13.0,2012-03-21,"Django, SQL",Available,61.7,4,90.8
EMP4279,Isha Nair,employee4279@company.local,Marketing,Team Lead,7.3,2016-07-20,"Project Management, Machine Learning, Excel",Available,37.4,3,69.0
EMP686,Kiran Das,employee686@company.local,Operations,Senior Developer,7.5,2012-02-25,"React, Computer Vision, Finance, Django",Available,45.2,3,79.3
EMP2239,Isha Iyer,employee2239@company.local,Engineering,Developer,5.3,2013-11-05,"Data Analysis, Excel, Project Management, Finance",Available,73.5,6,79.4
EMP1972,Sanjay Verma,employee1972@company.local,HR,Project Manager,5.2,2015-08-26,Python,Busy,52.7,2,48.9
EMP1765,Anita Menon,employee1765@company.local,IT,Developer,5.3,2020-11-18,Excel,Busy,21.5,2,63.9
EMP3905,Anita Reddy,employee3905@company.local,Engineering,Team Lead,5.0,2025-03-15,Python,Available,42.9,2,58.4
EMP2183,Sneha Nair,employee2183@company.local,Data Science,Team Lead,2.4,2021-10-12,Deep Learning,Available,54.1,4,70.6
EMP4879,Isha Iyer,employee4879@company.local,Sales,Business Analyst,10.9,2021-01-21,"Python, Project Management, SQL",Busy,24.5,1,79.3
EMP3413,Pooja Menon,employee3413@company.local,Engineering,Senior Developer,5.4,2012-07-17,"Finance, Django, React",Busy,95.1,3,67.1
EMP1528,Rohit Singh,employee1528@company.local,Finance,Senior Developer,1.4,2018-04-18,"Python, NLP, Django",Available,81.9,6,63.5
EMP2836,Aditya Verma,employee2836@company.local,Data Science,Developer,8.6,2024-11-25,"NLP, Deep Learning, Python",Available,28.9,3,80.2
EMP714,Nikhil Patel,employee714@company.local,Sales,Project Manager,7.0,2014-12-26,"Finance, Deep Learning, Excel",Busy,59.7,2,68.4
EMP3432,Sanjay Singh,employee3432@company.local,Engineering,Project Manager,5.6,2015-09-11,"Django, Finance, React, Data Analysis",Available,53.8,4,66.7
EMP3690,Amit Patel,employee3690@company.local,Engineering,Project Manager,9.3,2013-11-05,"Machine Learning, Deep Learning, Data Analysis, Python",Available,36.7,1,69.6
EMP4523,Sneha Joshi,employee4523@company.local,Sales,Business Analyst,1.9,2021-01-17,"Data Analysis, Project Management, Python",Available,48.0,4,59.6
EMP1427,Neha Sharma,employee1427@company.local,Finance,Developer,3.9,2016-02-26,"NLP, Excel, Data Analysis",Available,100.0,5,60.8
EMP3676,Aditya Raj,employee3676@company.local,Engineering,Team Lead,8.2,2014-08-04,"Excel, Project Management, SQL, Django",Busy,48.7,3,71.0
EMP760,Arun Singh,employee760@company.local,Operations,Business Analyst,4.6,2023-04-06,SQL,Available,78.1,5,53.0
EMP4570,Amit Patel,employee4570@company.local,Engineering,Finance Analyst,2.3,2016-04-14,Data Analysis,Available,60.3,5,61.2
EMP4682,Rahul Patel,employee4682@company.local,HR,Finance Analyst,5.8,2012-01-18,Python,Available,68.4,6,58.2
EMP306,Kiran Mishra,employee306@company.local,Data Science,HR Executive,5.9,2014-02-24,"Django, Python, Excel, Finance",On Leave,45.0,2,78.5
EMP4923,Sneha Joshi,employee4923@company.local,Data Science,Project Manager,5.2,2025-01-05,Data Analysis,Busy,82.6,6,54.3
EMP3444,Vivek Verma,employee3444@company.local,Sales,HR Executive,2.5,2015-06-01,"Computer Vision, Deep Learning, React, SQL",Available,84.3,6,56.0
EMP1604,Vivek Verma,employee1604@company.local,Sales,Data Scientist,1.4,2016-02-09,"Finance, SQL, Project Management",Available,59.5,4,69.4
EMP1092,Sanjay Verma,employee1092@company.local,IT,Data Scientist,7.4,2021-08-06,"Machine Learning, NLP, Project Management, Django",Busy,57.5,5,61.4
EMP2357,Swati Menon,employee2357@company.local,Sales,Team Lead,7.2,2013-07-17,Deep Learning,Available,44.3,1,80.5
EMP4703,Sneha Iyer,employee4703@company.local,Operations,Developer,4.4,2024-11-19,"Finance, NLP, Machine Learning",Busy,71.9,5,74.5
EMP4546,Kiran Mishra,employee4546@company.local,Data Science,Team Lead,4.2,2015-03-12,"SQL, React",Busy,49.0,6,60.8
EMP170,Amit Patel,employee170@company.local,IT,Data Scientist,0.9,2014-10-19,"Computer Vision, Django, Project Management, Excel",Busy,46.7,3,42.8
EMP4125,Anita Pillai,employee4125@company.local,Engineering,Data Scientist,3.2,2014-04-26,"Finance, Project Management",Available,75.4,5,51.5
EMP3509,Meera Menon,employee3509@company.local,Engineering,Developer,21.1,2016-01-24,"NLP, Project Management, React",On Leave,56.7,3,89.5
EMP3367,Neha Nair,employee3367@company.local,Engineering,Finance Analyst,2.3,2023-06-01,"NLP, Computer Vision, Django",Busy,59.0,3,59.5
EMP2040,Not specified,employee2040@company.local,Finance,Project Manager,14.0,2014-03-14,Deep Learning,Available,85.1,7,80.4
EMP1358,Manoj Das,employee1358@company.local,IT,HR Executive,7.7,2024-05-12,"Deep Learning, Python, Machine Learning",Available,80.2,5,54.7
EMP2204,Vivek Raj,employee2204@company.local,Engineering,HR Executive,9.4,2019-08-01,Finance,Busy,49.2,2,74.7
EMP2885,Anita Menon,employee2885@company.local,Finance,Finance Analyst,7.9,2022-10-20,Finance,On Leave,57.2,2,64.6
EMP4844,Vivek Raj,employee4844@company.local,Operations,HR Executive,14.0,2013-03-01,"Machine Learning, Finance",Available,57.2,6,77.5
EMP3183,Sneha Iyer,employee3183@company.local,Engineering,Analyst,14.3,2025-06-22,Project Management,Available,80.4,5,74.6
EMP483,Sneha Sharma,employee483@company.local,Engineering,Analyst,0.9,2025-08-25,"Computer Vision, NLP",Available,0.0,0,64.7
EMP2396,Aditya Raj,employee2396@company.local,Engineering,Data Scientist,0.7,2014-11-26,"React, Data Analysis, Machine Learning",Available,75.2,2,65.0
EMP3581,Priya Pillai,employee3581@company.local,Sales,Analyst,4.0,2013-01-16,Deep Learning,Available,41.1,2,63.0
EMP1124,Vivek Verma,employee1124@company.local,Data Science,Project Manager,5.5,2022-10-18,"Deep Learning, Computer Vision, SQL, React",Busy,60.1,2,63.2
EMP1785,Anita Kapoor,employee1785@company.local,Engineering,Analyst,9.5,2018-08-11,Python,Available,49.7,2,64.0
EMP2117,Swati Menon,employee2117@company.local,Engineering,Project Manager,3.4,2012-09-20,"Machine Learning, Data Analysis, Python, SQL",Available,84.0,6,72.3
