employee_id,employee_name,email,department,job_role,experience_years,hire_date,skills,required_skill,availability_status,workload_percentage,active_tasks,performance_score,task_id,task_title,task_description,task_priority,task_status,task_start_date,task_deadline,estimated_hours,hours_logged,progress_percentage,allocation_score,recommended_employee
EMP4058,Manoj Patel,employee4058@company.local,HR,Business Analyst,5.3,2014-11-04,"SQL, Finance, React",Project Management,Busy,24.0,2,73.1,TASK38182,Database Update,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-12-17,2026-01-04,20.2,10.0,60.5,29.0,1
EMP2131,Divya Sharma,employee2131@company.local,Sales,Data Scientist,7.5,2018-01-24,"Computer Vision, Deep Learning, Python, Finance",Machine Learning,Available,101.0,1,69.4,TASK48971,Employee Data Analysis,Complete Machine Learning related work for the assigned business operation.,Critical,Completed,2025-08-20,2025-10-14,,47.1,100.0,50.3,1
EMP2650,Amit Patel,employee2650@company.local,Operations,Data Scientist,3.7,2025-05-01,"Data Analysis, React, Deep Learning",React,Busy,42.4,3,72.7,TASK29466,Database Update,,Medium,In Progress,2025-07-28,2025-08-19,56.7,26.1,46.5,60.6,1
EMP4918,Manoj Thomas,employee4918@company.local,Operations,Analyst,8.5,2017-07-28,"React, Deep Learning, Project Management",React,Available,,6,54.3,TASK29493,Project Documentation,Complete React related work for the assigned business operation.,Medium,Blocked,2026-04-13,2026-06-11,51.3,56.4,100.0,76.0,1
EMP1659,Isha Joshi,employee1659@company.local,Data Science,Finance Analyst,1.7,2014-11-26,,SQL,Busy,31.6,1,56.3,TASK24345,Dashboard Update,Complete SQL related work for the assigned business operation.,Low,Completed,2026-01-11,2026-02-18,41.4,25.8,50.6,29.1,0
EMP2465,Anita Reddy,employee2465@company.local,Data Science,HR Executive,5.5,2016-06-23,"Finance, Django",Data Analysis,Available,35.4,1,78.0,TASK10841,Project Documentation,Complete Data Analysis related work for the assigned business operation.,Critical,In Progress,2026-04-18,2026-05-18,44.4,28.3,62.6,48.7,1
EMP3322,Rahul Patel,employee3322@company.local,Marketing,Data Scientist,2.0,2020-03-18,Excel,Excel,Available,60.9,4,54.8,TASK23544,Dashboard Update,Complete Excel related work for the assigned business operation.,High,Completed,2025-09-24,2025-11-16,46.3,48.5,100.0,70.1,1
EMP3675,Kavya Joshi,employee3675@company.local,Marketing,Finance Analyst,14.6,2021-06-24,"Machine Learning, Excel, SQL, Python",NLP,Busy,69.9,5,68.5,TASK42225,Data Cleaning,Complete NLP related work for the assigned business operation.,Critical,Not Started,2025-07-30,2025-08-18,57.3,42.3,61.3,22.3,1
EMP512,Sanjay Kumar,employee512@company.local,HR,HR Executive,8.6,2015-10-15,"React, Data Analysis, Machine Learning",Deep Learning,Available,85.9,8,74.6,TASK30277,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,Medium,Completed,2026-02-10,2026-02-15,17.5,12.3,94.2,40.0,1
EMP4602,Rahul Patel,employee4602@company.local,Sales,Analyst,1.1,2021-04-24,"Django, Machine Learning",Deep Learning,Busy,16.9,1,63.5,TASK03468,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,High,In Progress,2025-05-23,2025-06-27,39.0,34.6,89.2,30.2,0
EMP4324,Vivek Verma,employee4324@company.local,HR,Project Manager,4.4,2019-05-03,React,React,Available,91.0,6,72.8,TASK13485,SQL Data Processing,Complete React related work for the assigned business operation.,Medium,Completed,2025-09-07,2025-11-04,25.0,,66.7,71.0,1
EMP4937,Swati Kapoor,employee4937@company.local,HR,Business Analyst,6.0,2023-09-14,,Project Management,Busy,51.5,4,75.7,TASK47137,Machine Learning Task,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-04-24,2025-06-22,16.9,12.2,71.3,22.6,1
EMP440,Arun Singh,employee440@company.local,IT,HR Executive,20.0,2016-11-13,Finance,Computer Vision,Busy,35.4,3,84.0,TASK31970,Dashboard Update,Complete Computer Vision related work for the assigned business operation.,Medium,In Progress,2025-05-20,2025-06-16,51.1,25.4,51.3,22.3,0
EMP3651,Divya Sharma,employee3651@company.local,IT,Data Scientist,2.9,2015-09-03,"Python, Django",Excel,Available,86.8,7,67.2,TASK10234,SQL Data Processing,Complete Excel related work for the assigned business operation.,High,Not Started,2025-06-20,2025-06-23,24.6,21.0,86.7,37.8,1
EMP4930,Amit Mishra,employee4930@company.local,Marketing,Business Analyst,4.6,2017-11-05,"Python, Data Analysis, Django",Deep Learning,Available,37.5,3,66.0,TASK26222,Data Cleaning,,Low,Blocked,2025-03-19,2025-04-30,22.5,18.9,80.4,49.5,1
EMP560,Arun Kumar,employee560@company.local,HR,Data Scientist,22.0,2014-06-16,"Finance, Deep Learning",NLP,Busy,48.0,4,94.1,TASK23088,SQL Data Processing,Complete NLP related work for the assigned business operation.,High,Completed,2025-05-14,2025-06-03,30.0,29.8,93.2,24.9,0
EMP1818,Manoj Patel,employee1818@company.local,Sales,Analyst,4.7,2024-12-09,"Computer Vision, React, Excel",Project Management,On Leave,98.3,7,69.2,TASK28803,Data Cleaning,Complete Project Management related work for the assigned business operation.,High,In Progress,2025-11-06,2025-12-31,38.7,29.0,88.5,21.2,1
EMP2487,Neha Nair,employee2487@company.local,Engineering,Finance Analyst,8.3,2019-05-22,"Python, Deep Learning, Machine Learning",Project Management,Available,33.9,1,85.8,TASK48242,Database Update,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-12-29,2026-02-04,45.5,25.8,44.7,55.2,1
EMP2595,Kavya Sharma,employee2595@company.local,Finance,Senior Developer,1.8,2012-03-01,,Python,Available,66.6,5,52.5,TASK02992,Django Feature Development,Complete Python related work for the assigned business operation.,Medium,Blocked,2025-06-22,2025-07-13,30.1,24.6,91.8,74.7,1
EMP2686,Kiran Das,employee2686@company.local,Operations,Senior Developer,1.5,2025-03-20,"Excel, Django, Finance, Python",Project Management,Available,65.4,3,60.3,TASK24539,Dashboard Update,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2025-04-14,2025-04-24,42.5,12.9,31.2,35.6,1
EMP2609,Meera Reddy,employee2609@company.local,IT,HR Executive,1.6,2023-04-14,Python,React,Busy,40.3,3,54.2,TASK39775,Dashboard Update,Complete React related work for the assigned business operation.,High,Completed,2026-04-09,2026-06-05,30.4,24.3,56.9,14.0,0
EMP1579,Isha Joshi,employee1579@company.local,Data Science,Senior Developer,9.2,2024-12-13,"Django, Data Analysis, Machine Learning",Machine Learning,Busy,68.0,4,56.7,TASK07098,Project Documentation,,Low,In Progress,2025-10-20,2025-11-03,49.5,43.3,,60.2,1
EMP3782,Rahul Thomas,employee3782@company.local,IT,Team Lead,6.4,2025-08-30,Deep Learning,Computer Vision,Available,54.1,1,58.3,TASK33166,Project Documentation,Complete Computer Vision related work for the assigned business operation.,Low,Completed,2025-01-13,2025-02-27,2.0,2.0,78.9,49.2,0
EMP564,Vivek Verma,employee564@company.local,Operations,HR Executive,4.7,2020-04-23,SQL,Python,Available,,6,61.4,TASK45280,SQL Data Processing,Complete Python related work for the assigned business operation.,Medium,Not Started,2025-03-28,2025-04-28,38.6,39.5,94.9,34.1,0
EMP2104,Vivek Singh,employee2104@company.local,Marketing,HR Executive,3.6,2025-05-26,Deep Learning,Deep Learning,Available,34.7,3,68.2,TASK32173,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,Medium,Not Started,2025-04-11,2025-05-18,22.2,16.9,61.4,84.7,1
EMP2962,Rahul Mishra,employee2962@company.local,IT,Data Scientist,1.7,2022-10-07,"Computer Vision, Data Analysis",Data Analysis,Available,,6,47.5,TASK14601,Database Update,Complete Data Analysis related work for the assigned business operation.,High,Not Started,2025-06-02,2025-06-17,41.5,42.8,100.0,70.0,1
EMP1509,Meera Menon,employee1509@company.local,Finance,Data Scientist,3.8,2016-06-19,"React, Computer Vision, Excel, Project Management",React,Busy,38.8,4,65.6,TASK39825,System Testing,Complete React related work for the assigned business operation.,High,In Progress,2026-06-02,2026-06-14,44.5,32.1,78.7,57.8,1
EMP185,Anita Kapoor,employee185@company.local,Data Science,Analyst,1.0,2023-07-02,"Data Analysis, Excel, SQL",Django,Available,55.2,4,68.3,TASK16670,SQL Data Processing,Complete Django related work for the assigned business operation.,Medium,Completed,2026-07-01,2026-08-10,24.9,29.2,97.5,40.9,1
EMP909,Meera Pillai,employee909@company.local,IT,Senior Developer,2.5,2017-05-01,"Django, Machine Learning, Python",Django,Available,22.7,2,65.5,TASK03498,API Development,Complete Django related work for the assigned business operation.,Low,In Progress,2025-10-22,2025-11-22,48.4,32.0,58.0,93.5,1
EMP4363,Sneha Joshi,employee4363@company.local,Operations,Team Lead,3.7,2014-02-22,Excel,Finance,Available,54.2,5,69.2,TASK10610,SQL Data Processing,Complete Finance related work for the assigned business operation.,High,,2026-01-23,2026-02-02,22.1,19.1,82.5,49.6,0
EMP2958,Manoj Das,employee2958@company.local,Engineering,HR Executive,4.9,2013-04-18,"SQL, Data Analysis, NLP, Finance",Excel,Available,76.2,4,79.5,TASK06735,System Testing,,Medium,In Progress,2025-06-12,2025-06-22,22.1,16.1,61.8,35.9,0
EMP3641,Priya Kapoor,employee3641@company.local,Data Science,Senior Developer,6.2,2016-05-29,Deep Learning,NLP,Busy,95.6,6,65.3,TASK36724,Project Documentation,Complete NLP related work for the assigned business operation.,High,Blocked,2026-07-10,2026-08-20,49.2,27.8,53.9,21.2,1
EMP4002,Rahul Mishra,employee4002@company.local,Data Science,Business Analyst,13.5,2018-08-30,"Data Analysis, NLP",React,Busy,46.8,2,71.6,TASK30391,Machine Learning Task,Complete React related work for the assigned business operation.,Medium,In Progress,2025-04-08,2025-04-17,40.5,34.2,95.5,25.0,0
EMP881,Priya Reddy,employee881@company.local,IT,Team Lead,13.9,2019-05-02,"SQL, Data Analysis",SQL,Available,37.8,3,68.9,TASK07291,System Testing,Complete SQL related work for the assigned business operation.,Medium,In Progress,2025-02-02,2025-03-04,,11.2,60.4,93.5,1
EMP4090,Amit Patel,employee4090@company.local,Data Science,Business Analyst,3.5,2014-03-29,"Data Analysis, Computer Vision, React",Django,Busy,56.6,3,77.1,TASK40830,Project Documentation,Complete Django related work for the assigned business operation.,Medium,In Progress,2025-07-08,2025-08-27,34.8,29.8,100.0,15.7,1
EMP1196,Aditya Raj,employee1196@company.local,Operations,Project Manager,3.3,2016-11-03,"Computer Vision, Project Management, NLP",Machine Learning,Busy,85.2,6,62.1,TASK10590,Project Documentation,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2026-04-21,2026-05-10,30.6,22.0,63.3,13.2,1
EMP3918,Manoj Das,employee3918@company.local,Data Science,Data Scientist,14.2,2012-07-20,SQL,Computer Vision,Busy,55.3,5,85.2,TASK45428,Machine Learning Task,Complete Computer Vision related work for the assigned business operation.,Low,In Progress,2025-05-30,2025-06-29,31.4,24.0,65.8,31.5,0
EMP2694,Nikhil Thomas,employee2694@company.local,Marketing,Finance Analyst,7.8,2016-04-01,NLP,Data Analysis,Available,56.2,5,77.4,TASK16049,Project Documentation,Complete Data Analysis related work for the assigned business operation.,Medium,Completed,2025-06-03,2025-06-09,44.0,60.1,100.0,44.0,1
EMP2879,Isha Iyer,employee2879@company.local,Engineering,Team Lead,2.3,2015-10-14,Deep Learning,Finance,Available,37.7,3,71.0,TASK03253,Django Feature Development,Complete Finance related work for the assigned business operation.,Low,Completed,2025-01-14,2025-01-25,48.5,60.6,100.0,47.8,1
EMP2281,Priya Kapoor,employee2281@company.local,Engineering,Data Scientist,2.3,2024-01-24,"SQL, Deep Learning",Computer Vision,Available,47.2,4,53.1,TASK35300,Data Cleaning,Complete Computer Vision related work for the assigned business operation.,Medium,Not Started,2026-06-03,2026-06-26,29.0,30.9,91.0,42.5,1
EMP217,Swati Kapoor,employee217@company.local,Data Science,Project Manager,14.3,2013-03-06,"Excel, Data Analysis, Computer Vision, Django",Python,Busy,33.9,3,77.4,TASK36396,API Development,Complete Python related work for the assigned business operation.,Medium,Not Started,2025-06-18,2025-06-26,39.9,45.5,100.0,33.5,0
EMP4335,Kavya Iyer,employee4335@company.local,Operations,Data Scientist,13.0,2018-03-18,"Project Management, React",Python,,85.0,8,80.9,TASK46972,Data Cleaning,Complete Python related work for the assigned business operation.,Low,Completed,2025-05-25,2025-06-28,43.2,32.7,80.1,22.8,1
EMP564,Vivek Verma,employee564@company.local,Operations,HR Executive,4.7,2020-04-23,SQL,Deep Learning,Available,90.2,7,61.4,TASK12291,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,Medium,Completed,2025-04-25,2025-06-04,36.2,22.1,54.1,44.3,1
EMP581,Priya Menon,employee581@company.local,Finance,Senior Developer,22.0,2023-01-08,React,Deep Learning,Available,46.7,5,93.5,TASK00463,Employee Data Analysis,Complete Deep Learning related work for the assigned business operation.,High,In Progress,2025-08-25,2025-10-11,21.2,15.3,64.3,55.0,1
EMP1246,Kiran Das,employee1246@company.local,Marketing,Analyst,4.8,2024-08-05,"Computer Vision, Project Management, Excel",Computer Vision,Busy,57.4,5,64.5,TASK10435,Dashboard Update,Complete Computer Vision related work for the assigned business operation.,High,In Progress,2025-08-12,2025-10-06,46.4,30.0,54.5,50.7,1
EMP3834,Nikhil Patel,employee3834@company.local,Engineering,Data Scientist,5.6,2022-07-16,"Deep Learning, NLP, SQL, React",Deep Learning,Available,48.4,3,69.0,TASK36348,Project Documentation,Complete Deep Learning related work for the assigned business operation.,Low,Not Started,2025-10-28,2025-11-21,30.3,35.8,100.0,86.9,1
EMP526,Kiran Das,employee526@company.local,Finance,Project Manager,1.2,2015-04-20,"Data Analysis, React, Django",Machine Learning,Available,60.2,3,71.7,TASK23009,Database Update,Complete Machine Learning related work for the assigned business operation.,High,In Progress,2025-09-24,2025-11-16,21.4,27.9,100.0,36.1,1
EMP4797,Swati Pillai,employee4797@company.local,IT,HR Executive,0.3,2013-06-14,"Deep Learning, Django, Excel",Project Management,Busy,59.4,5,53.4,TASK07003,System Testing,Complete Project Management related work for the assigned business operation.,Low,In Progress,2026-07-15,2026-08-30,25.6,14.7,61.6,8.2,0
EMP1009,Meera Reddy,employee1009@company.local,Marketing,,7.4,2019-02-04,Python,Project Management,Available,57.5,6,82.3,TASK13729,API Development,Complete Project Management related work for the assigned business operation.,Medium,Not Started,2026-04-08,2026-04-14,49.7,19.5,42.2,42.9,1
EMP4225,Anita Reddy,employee4225@company.local,Data Science,Analyst,4.0,2018-10-19,"React, Deep Learning",Project Management,Available,29.4,1,70.8,TASK12042,Employee Data Analysis,Complete Project Management related work for the assigned business operation.,High,In Progress,2025-10-14,2025-12-11,34.8,23.4,74.9,54.9,1
EMP2265,Anita Kapoor,employee2265@company.local,Data Science,Finance Analyst,2.0,2022-03-27,"Project Management, Python, Machine Learning",SQL,Available,13.7,0,56.0,TASK08224,SQL Data Processing,Complete SQL related work for the assigned business operation.,Medium,Completed,2026-04-30,2026-05-18,39.2,34.2,78.0,49.3,1
EMP207,Neha Iyer,employee207@company.local,Engineering,Senior Developer,17.8,2019-06-29,"NLP, Finance",Finance,Available,53.6,3,95.2,TASK26567,API Development,Complete Finance related work for the assigned business operation.,High,Not Started,2026-02-21,2026-04-20,34.9,24.6,79.6,88.4,1
EMP369,Meera Reddy,employee369@company.local,Sales,Business Analyst,1.7,2024-01-15,"Machine Learning, Project Management, Data Analysis",React,Busy,64.2,3,53.2,TASK41951,SQL Data Processing,Complete React related work for the assigned business operation.,Medium,Completed,2026-04-17,2026-05-07,44.2,33.9,72.7,7.3,0
EMP1128,Rohit Singh,employee1128@company.local,Sales,Data Scientist,8.3,2021-10-01,Django,Deep Learning,Available,56.3,4,58.8,TASK36757,SQL Data Processing,Complete Deep Learning related work for the assigned business operation.,Medium,Completed,2025-06-07,2025-07-23,20.9,18.6,84.0,45.9,0
EMP1099,Isha Joshi,employee1099@company.local,Marketing,Team Lead,10.1,2024-08-25,"Machine Learning, SQL, Project Management",Excel,On Leave,64.8,6,76.5,TASK17747,Project Documentation,Complete Excel related work for the assigned business operation.,High,Completed,2025-07-21,2025-08-09,23.7,16.1,63.2,28.7,1
EMP821,Priya Menon,employee821@company.local,Data Science,Business Analyst,3.4,2013-11-08,"Data Analysis, Excel",Machine Learning,Available,62.4,3,56.3,TASK06725,Machine Learning Task,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2025-07-19,2025-08-26,21.8,16.0,79.2,43.5,1
EMP3092,Sanjay Verma,employee3092@company.local,Finance,Project Manager,4.9,2012-08-20,Finance,Finance,Available,,4,73.4,TASK45332,Project Documentation,Complete Finance related work for the assigned business operation.,Medium,Completed,2026-08-14,2026-09-19,35.1,,50.1,86.6,1
EMP2798,Manoj Das,employee2798@company.local,Marketing,Developer,15.7,2018-03-06,Python,Machine Learning,Available,133.4,7,81.6,TASK26490,Machine Learning Task,Complete Machine Learning related work for the assigned business operation.,Medium,In Progress,2026-04-11,2026-05-03,20.8,18.6,72.8,47.2,1
EMP034,Nikhil Mishra,employee034@company.local,Finance,Developer,9.4,2012-03-15,NLP,Project Management,Available,91.2,6,74.6,TASK36969,Dashboard Update,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2026-02-26,2026-03-15,35.6,36.8,100.0,45.2,1
EMP114,Nikhil Mishra,employee114@company.local,Engineering,Analyst,,2020-11-10,"Project Management, Excel, NLP",Project Management,On Leave,64.3,4,99.0,TASK44101,SQL Data Processing,Complete Project Management related work for the assigned business operation.,Medium,In Progress,2025-05-20,2025-06-05,48.0,10.5,5.2,61.9,1
EMP1286,,employee1286@company.local,HR,Senior Developer,9.4,2022-10-24,"Django, React, Python",SQL,Available,46.4,4,67.7,TASK27500,Dashboard Update,Complete SQL related work for the assigned business operation.,Medium,Completed,2025-03-15,2025-05-05,27.4,23.0,79.1,44.7,1
EMP012,Sanjay Raj,employee012@company.local,Sales,Team Lead,3.2,2016-10-21,"Computer Vision, Django, NLP, React",Computer Vision,Available,53.3,2,48.9,TASK26957,Data Cleaning,Complete Computer Vision related work for the assigned business operation.,High,In Progress,2026-01-09,2026-02-03,25.8,23.6,95.6,78.1,1
EMP1162,Rahul Patel,employee1162@company.local,Engineering,,11.2,2012-12-13,Data Analysis,React,Available,52.5,3,49.8,TASK24247,Machine Learning Task,Complete React related work for the assigned business operation.,High,In Progress,2025-01-06,2025-01-15,53.0,46.9,97.7,50.3,1
EMP1989,Meera Menon,employee1989@company.local,Data Science,Finance Analyst,11.8,2016-07-29,SQL,Computer Vision,Available,81.4,4,78.3,TASK37650,Django Feature Development,Complete Computer Vision related work for the assigned business operation.,Low,Completed,2026-07-09,2026-08-28,43.0,41.2,98.7,47.8,0
EMP4244,Vivek Verma,employee4244@company.local,Sales,Analyst,12.6,2018-06-22,Excel,,On Leave,12.1,1,73.5,TASK01096,SQL Data Processing,Complete Finance related work for the assigned business operation.,Medium,In Progress,2026-07-30,2026-09-12,57.8,70.0,100.0,33.6,1
EMP1972,Sanjay Verma,employee1972@company.local,HR,Project Manager,5.2,2015-08-26,Python,NLP,Busy,52.7,3,48.9,TASK24645,System Testing,Complete NLP related work for the assigned business operation.,Medium,Completed,2026-08-04,2026-09-09,37.9,30.8,74.7,17.1,1
EMP3978,Manoj Patel,employee3978@company.local,Engineering,Analyst,2.2,2020-08-15,"NLP, Computer Vision",Deep Learning,Available,68.1,4,64.6,TASK12441,SQL Data Processing,Complete Deep Learning related work for the assigned business operation.,Medium,Not Started,2026-07-22,2026-09-03,50.3,39.4,85.3,34.5,0
EMP2706,Kiran Mishra,employee2706@company.local,IT,Business Analyst,1.3,2015-04-16,Deep Learning,Finance,Available,32.5,2,78.1,TASK22861,Dashboard Update,Complete Finance related work for the assigned business operation.,Medium,In Progress,2026-08-01,2026-08-12,32.5,19.4,64.7,48.5,0
EMP3224,Vivek Singh,employee3224@company.local,Finance,,12.6,2017-09-03,"Finance, Project Management, Django",Project Management,On Leave,97.2,6,63.1,TASK15393,SQL Data Processing,Complete Project Management related work for the assigned business operation.,Medium,Completed,2025-09-11,2025-09-14,58.0,46.7,73.5,53.6,1
EMP240,Arun Kumar,employee240@company.local,IT,Developer,8.5,2023-10-27,"Python, Deep Learning, NLP, SQL",Computer Vision,Available,32.0,3,67.7,TASK05640,Machine Learning Task,Complete Computer Vision related work for the assigned business operation.,Low,In Progress,2025-04-28,2025-05-09,43.4,9.4,25.3,55.2,1
EMP4827,Neha Joshi,employee4827@company.local,Sales,,13.4,2018-01-23,"Python, Computer Vision, Django",Python,Available,31.6,1,68.9,TASK06968,Dashboard Update,Complete Python related work for the assigned business operation.,High,Not Started,2025-01-15,2025-02-28,42.4,28.7,69.0,88.6,1
EMP3614,Nikhil Das,employee3614@company.local,Sales,Developer,2.9,2020-11-22,"Django, Machine Learning, Project Management, Data Analysis",,Available,62.5,3,76.1,TASK18939,System Testing,Complete NLP related work for the assigned business operation.,Critical,Completed,2025-04-27,2025-05-12,52.5,56.2,95.1,38.8,1
EMP1762,Rahul Mishra,employee1762@company.local,Sales,Finance Analyst,14.8,2020-01-12,,Deep Learning,Busy,49.2,4,72.1,TASK17583,Data Cleaning,Complete Deep Learning related work for the assigned business operation.,Medium,In Progress,2025-04-11,2025-04-16,39.6,32.5,79.8,25.8,1
EMP1926,Kiran Thomas,employee1926@company.local,HR,Senior Developer,3.7,2021-10-23,NLP,Computer Vision,Available,77.9,4,66.7,TASK22377,Machine Learning Task,Complete Computer Vision related work for the assigned business operation.,Medium,In Progress,2025-09-13,2025-10-12,29.5,17.6,71.9,45.4,1
EMP4853,Pooja Menon,employee4853@company.local,HR,HR Executive,2.1,2018-01-27,Project Management,SQL,On Leave,84.1,5,74.7,TASK02255,API Development,Complete SQL related work for the assigned business operation.,High,Completed,2026-07-07,2026-08-31,35.7,20.8,57.8,8.8,1
EMP2234,Nikhil Patel,employee2234@company.local,Sales,Finance Analyst,11.5,2017-02-23,"Python, Finance, Excel",Python,Available,100.0,8,73.2,TASK10244,API Development,Complete Python related work for the assigned business operation.,Low,Completed,2025-05-10,2025-06-17,29.8,26.9,76.1,75.0,1
EMP2310,Amit Thomas,employee2310@company.local,IT,Finance Analyst,7.7,2024-02-08,"Data Analysis, Excel",Python,Available,55.0,5,75.6,TASK18129,Project Documentation,Complete Python related work for the assigned business operation.,High,In Progress,2026-06-28,2026-08-17,36.1,31.4,84.9,48.5,1
EMP1586,Kiran Mishra,employee1586@company.local,Engineering,Finance Analyst,2.3,2022-09-26,"Python, SQL",Project Management,Available,41.6,3,68.8,TASK06333,Employee Data Analysis,Complete Project Management related work for the assigned business operation.,Critical,In Progress,2026-04-14,2026-04-25,58.5,33.7,49.2,42.3,0
EMP215,Kavya Nair,employee215@company.local,Engineering,Team Lead,12.7,2020-09-19,"Project Management, Django, Machine Learning",Finance,Available,102.8,4,88.2,TASK24306,System Testing,Complete Finance related work for the assigned business operation.,Medium,Completed,2026-08-03,2026-08-11,37.0,32.0,95.0,56.1,1
EMP2797,Swati Pillai,employee2797@company.local,Marketing,Business Analyst,0.6,2020-06-10,SQL,Finance,Available,76.6,8,52.7,TASK02302,API Development,Complete Finance related work for the assigned business operation.,,In Progress,2025-05-22,2025-06-17,39.2,25.9,50.4,36.7,1
EMP643,Sneha Sharma,employee643@company.local,Data Science,Analyst,5.9,2022-11-10,Project Management,Deep Learning,Available,12.6,0,67.1,TASK13576,Machine Learning Task,Complete Deep Learning related work for the assigned business operation.,High,In Progress,2026-01-15,2026-03-09,51.1,48.0,100.0,50.7,1
EMP059,Isha Joshi,employee059@company.local,Engineering,Business Analyst,9.5,2013-11-23,"Machine Learning, Excel",Finance,Available,50.0,4,63.0,TASK05246,Data Cleaning,Complete Finance related work for the assigned business operation.,Low,Completed,2026-01-13,2026-03-08,41.2,29.7,66.5,49.4,1
EMP2710,Amit Thomas,employee2710@company.local,HR,HR Executive,9.8,2024-04-24,"NLP, Python, Django",,Available,72.7,5,82.6,TASK14299,SQL Data Processing,Complete Excel related work for the assigned business operation.,Low,Completed,2025-08-18,2025-09-09,32.9,24.0,76.0,47.4,0
EMP4984,Vivek Singh,employee4984@company.local,HR,Senior Developer,15.5,2018-12-09,"NLP, SQL, Machine Learning",Deep Learning,Busy,79.0,7,76.1,TASK36547,Project Documentation,Complete Deep Learning related work for the assigned business operation.,Medium,Blocked,2025-06-10,2025-07-31,23.8,21.2,88.0,14.8,1
EMP4133,Pooja Menon,employee4133@company.local,Operations,HR Executive,10.6,2018-06-17,"Python, Finance, SQL, Excel",React,Available,41.0,4,66.8,TASK33218,Dashboard Update,Complete React related work for the assigned business operation.,High,In Progress,2026-04-24,2026-05-13,38.3,36.4,100.0,54.0,1
EMP4693,Pooja Menon,employee4693@company.local,Operations,Analyst,10.3,2024-09-07,"Machine Learning, Excel, Project Management, Data Analysis",Excel,Available,57.5,3,95.7,TASK41830,,Complete Excel related work for the assigned business operation.,Critical,Completed,2025-04-08,2025-05-31,48.8,36.9,70.6,83.4,1
EMP1686,Kiran Thomas,employee1686@company.local,HR,HR Executive,3.7,2021-12-31,Project Management,SQL,Busy,68.0,6,70.0,TASK09291,Dashboard Update,Complete SQL related work for the assigned business operation.,High,Not Started,2025-07-13,2025-08-29,33.4,32.3,96.6,17.7,0
EMP2125,Anita Pillai,employee2125@company.local,IT,Project Manager,7.4,2018-12-14,"Django, React, Deep Learning, Data Analysis",Computer Vision,Available,42.9,4,74.9,TASK09076,Machine Learning Task,Complete Computer Vision related work for the assigned business operation.,Medium,Completed,2025-03-25,2025-04-29,45.0,50.8,98.8,51.4,1
EMP3984,Vivek Kumar,employee3984@company.local,,Business Analyst,3.6,2019-02-27,"NLP, Machine Learning, Finance, Excel",Computer Vision,Available,29.3,0,65.5,TASK13922,System Testing,Complete Computer Vision related work for the assigned business operation.,Medium,Blocked,2026-01-17,2026-02-08,35.6,22.7,,43.8,1
EMP2769,Meera Reddy,employee2769@company.local,Data Science,HR Executive,10.0,2021-05-16,"Python, Django, Finance",Finance,Available,87.9,5,72.9,TASK25501,Data Cleaning,Complete Finance related work for the assigned business operation.,Medium,In Progress,2025-02-18,2025-03-07,55.0,55.0,100.0,84.4,1
EMP4435,Kavya Sharma,employee4435@company.local,Engineering,Project Manager,10.3,2015-05-03,"Project Management, Finance, Machine Learning",Machine Learning,Available,95.3,6,75.2,TASK14079,SQL Data Processing,Complete Machine Learning related work for the assigned business operation.,Low,Completed,2025-11-02,2025-11-16,44.5,,98.1,72.3,1
EMP3617,Swati Reddy,employee3617@company.local,IT,HR Executive,1.4,2012-07-07,"Python, Machine Learning, React",Machine Learning,Available,25.4,2,63.3,TASK30635,System Testing,Complete Machine Learning related work for the assigned business operation.,Medium,In Progress,2025-01-19,2025-03-11,23.1,29.9,100.0,79.5,1
EMP3569,Meera Reddy,employee3569@company.local,IT,Team Lead,9.3,2023-10-21,"Computer Vision, NLP, React",Project Management,Available,65.7,4,68.9,TASK37242,Data Cleaning,Complete Project Management related work for the assigned business operation.,Low,Blocked,2025-07-05,2025-08-31,45.2,38.8,100.0,50.0,1
EMP2059,Isha Joshi,employee2059@company.local,HR,Senior Developer,4.0,2016-06-09,Machine Learning,Deep Learning,Available,12.2,2,74.0,TASK47615,Database Update,Complete Deep Learning related work for the assigned business operation.,High,In Progress,2025-02-22,2025-03-04,32.5,19.7,67.9,56.2,1
EMP539,Isha Joshi,employee539@company.local,Operations,Analyst,11.2,2013-05-16,"Excel, SQL, Python, React",Machine Learning,Available,66.4,2,77.2,TASK38201,System Testing,Complete Machine Learning related work for the assigned business operation.,Medium,Completed,2025-04-29,2025-05-21,47.1,51.7,100.0,51.0,1
EMP3483,Sneha Joshi,employee3483@company.local,Operations,HR Executive,1.5,2018-01-30,"Finance, Computer Vision, Python, React",NLP,Busy,63.1,4,54.7,TASK31229,SQL Data Processing,Complete NLP related work for the assigned business operation.,Medium,Completed,2025-08-26,2025-09-13,40.2,41.4,84.2,15.8,0
